"year","rating","length","movie_name","Genres:","Rate:","Added to Netflix:","Director:","Cast:","Production Country:","New Season Added:"
"2018","6.8/10","59 min","ReMastered: Who Killed Jam Master Jay?","Documentaries, Music & Musicals","","December 7, 2018","Brian Oakes",NA,NA,NA
"2018","4.9/10","28 min","Super Monsters and the Wish Star","Children & Family Movies","","December 7, 2018","Jacob Joice","Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr, Gigi Saul Guerrero",NA,NA
"2018","6.8/10","98 min","The American Meme","Documentaries","","December 7, 2018","Bert Marcus","Paris Hilton, Josh Ostrovsky, Brittany Furlan, Kirill Bichutsky, DJ Khaled, Emily Ratajkowski, Hailey Baldwin","United States",NA
"2018","6.7/10","63 min","RUSSELL BRAND: RE:BIRTH","Stand-Up Comedy","","December 4, 2018","Chris Howe","Russell Brand",NA,NA
"2018","5.9/10","2 Seasons","The Sound of Your Heart: Reboot","International TV Shows, Korean TV Shows, TV Comedies","",NA,NA,"Sung Hoon, Kwon Yuri, Tae Hang-ho, Joo Jin-mo, Shim Hye-jin, Ji Su-won, Park Cheol-min, Kim Seong-won, Kang Yoon, Seo Eun-ah, Bae Yoon-kyung","South Korea","December 3, 2018"
"2018","7.9/10","1 Season","Memories of the Alhambra","Crime TV Shows, International TV Shows, Korean TV Shows","","December 2, 2018",NA,"Hyun Bin, Park Shin-hye, Park Hoon, Kim Yong-rim, Chanyeol, Lee Re, Lee Hak Joo, Lee Si-won, Kim Eui-sung","South Korea",NA
"2018","7.3/10","155 min","Teefa in Trouble","Action & Adventure, Comedies, International Movies","","December 2, 2018","Ahsan Rahim","Ali Zafar, Maya Ali, Javed Sheikh, Mehmood Aslam, Faisal Qureshi, Nayyar Ejaz, Asma Abbas, Marhoom Ahmad Bilal, Simi Raheal, Salman Bokhari","Pakistan",NA
"2011","6.8/10","122 min","A Beautiful Life","Dramas, International Movies, Romantic Movies","","December 1, 2018","Andrew Lau Wai-Keung","Qi Shu, Liu Ye, Anthony Wong Chau-Sang, Liang Tian, Danying Feng, Rina Sa, Zhang Songwen, Tian Gao, Andrew Lin","China, Hong Kong",NA
"2009","6.8/10","87 min","Accident","International Movies, Thrillers","","December 1, 2018","Cheang Pou Soi","Louis Koo, Richie Ren, Stanley Fung Sui-Fan, Michelle Ye, Lam Suet, Alexander Chan, Monica Mok","Hong Kong",NA
"2018","7.6/10","73 min","Ayotzinapa, el paso de la tortuga","Documentaries, International Movies","","December 1, 2018","Enrique García Meza",NA,"Mexico",NA
"2018","5.9/10","98 min","Battle","Dramas, International Movies, Romantic Movies","","December 1, 2018","Katarina Launing","Lisa Teige, Fabian Svegaard Tapia, Vebjorn Enger, Charlott Madeleine Utzig, Stig R. Amdam, Karen-Lise Mynster","Norway, Denmark, Netherlands, Sweden",NA
"2013","6.3/10","130 min","Blind Detective","Action & Adventure, Comedies, International Movies","","December 1, 2018","Johnnie To","Andy Lau, Sammi Cheng, Gao Yuanyuan, Guo Tao, Philip Keung, Lam Suet, Lo Hoi-pang, Tai-Lo Ma, Man-Wai Wong, Ying-Ying Yiu, Yi Zi","Hong Kong, China",NA
"2014","5.6/10","105 min","Break Up 100","Comedies, International Movies, Romantic Movies","","December 1, 2018","Lawrence Cheng","Ekin Cheng, Chrissie Chow, Ivana Wong, Jase Ho, Alex Lam, Wen Xin, Miriam Chin Wah Yeung, Eric Kot, Kar Lok Chin","Hong Kong",NA
"2014","3.6/10","110 min","Chal Bhaag","Comedies, Dramas, International Movies","","December 1, 2018","Prakash Balwant Saini","Deepak Dobriyal, Tarun Bajaj, Keeya Khanna, Varun Mehra, Sanjay Mishra, Yashpal Sharma, Mukesh Tiwari, Atul Srivastava, Manish Khanna, Kunwar Aziz","India",NA
"2018","6.6/10","81 min","Crossroads: One Two Jaga","Dramas, International Movies","","December 1, 2018","Nam Ron","Zahiril Adzim, Ario Bayu, Asmara Abigail, Rosdeen Suboh, Amerul Affendi, Iedil Putra, Timothy Castillo, Chew Kin Wah, Along Eyzendy, Nam Ron","Malaysia",NA
"2011","6.3/10","115 min","Don't Go Breaking My Heart","Comedies, International Movies, Romantic Movies","","December 1, 2018","Johnnie To","Louis Koo, Gao Yuanyuan, Daniel Wu","Hong Kong",NA
"2014","5.3/10","113 min","Don't Go Breaking My Heart 2","Comedies, International Movies, Romantic Movies","","December 1, 2018","Johnnie To","Louis Koo, Gao Yuanyuan, Miriam Chin Wah Yeung, Vic Chou, Daniel Wu","Hong Kong, China",NA
"2015","5.3/10","146 min","Faraar","Action & Adventure, Dramas, International Movies","","December 1, 2018","Baljit Singh Deo","Kainaat Arora, Jaggi Singh, Gippy Grewal","Australia",NA
"2017",NA,"1 Season","Haunted House","Kids' TV, Korean TV Shows","","December 1, 2018",NA,"Jo Hyun-jung, Gim Young-eun, Gim Chae-ha, I So Eun, Choe Jae-ho",NA,NA
"2015","5.5/10","118 min","Helios","Action & Adventure, International Movies","","December 1, 2018","Leung Lok Man, Luk Kim-ching","Jacky Cheung, Nick Cheung, Chang Chen, Shawn Yue, Wang Xueqi, Janice Man, Ji Jin-hee, Choi Si-won","Hong Kong, China, United States",NA
"2016","5.9/10","109 min","Line Walker","Action & Adventure, Dramas, International Movies","","December 1, 2018","Jazz Boon","Nick Cheung, Louis Koo, Francis Chun-Yu Ng, Charmaine Sheh, Hui Shiu Hung, Li Guangjie, Zhang Huiwen, Xing Yu, Cheng Taishen, Moses Chan, Louis Cheung","China, Hong Kong",NA
"2009","5.8/10","117 min","Look for a Star","Comedies, International Movies, Romantic Movies","","December 1, 2018","Andrew Lau Wai-Keung","Andy Lau, Qi Shu, Zhang Hanyu, Denise Ho, Dominic Lam, Xinyi Zhang, David Chiang, George Lam, Rebecca Pan, Maria Cordero, Tat-Ming Cheung","Hong Kong",NA
"2018",NA,"23 min","Oddbods: The Festive Menace","Movies","","December 1, 2018",NA,"Nadia Ramlee, Chio Su-Ping, Jeremy Linn, Marlon Dance-Hooi",NA,NA
"2010","5.6/10","95 min","Once a Gangster","Action & Adventure, Comedies, International Movies","","December 1, 2018","Felix Chong","Ekin Cheng, Jordan Chan, Alex Fong, Michelle Ye, On-on Yu, Wilfred Lau, Conroy Chan","Hong Kong",NA
"2017","7.6/10","124 min","Power Paandi","Dramas, Independent Movies, International Movies","","December 1, 2018","Dhanush","Rajkiran, Dhanush, Prasanna, Chaya Singh, Revathy, Madonna Sebastian, Vidyullekha Raman","India",NA
"2017","8.5/10","90 min","Roll With Me","Documentaries, Sports Movies","","December 1, 2018",NA,NA,"United States",NA
"2013","5.8/10","96 min","SDU: Sex Duties Unit","Comedies, International Movies","","December 1, 2018","Gary Mak","Chapman To, Shawn Yue, Matt Chow, Kwok Cheung Tsang","Hong Kong",NA
"2008","6.7/10","96 min","Set Off","Dramas, International Movies","","December 1, 2018","Liu Jiang","Wenpei Ju, Fan Wei, Liu Hua, Qianyuan Wang, Ren Zhengbin, He Jiang","China",NA
"2018","6.7/10","1 Season","1983","Crime TV Shows, International TV Shows, TV Dramas","","November 30, 2018",NA,"Robert Wiêckiewicz, Maciej Musia³, Michalina Olszañska, Andrzej Chyra, Clive Russell, Zofia Wich³acz, Edyta Olszówka, Mateusz Koœciukiewicz, Ewa B³aszczyk, Vu Le Hong, Tomasz W³osok, Krzysztof Wach","Poland, United States",NA
"2018","5.5/10","93 min","A Christmas Prince: The Royal Wedding","Children & Family Movies, Dramas, Romantic Movies","","November 30, 2018","John Schultz","Rose McIver, Ben Lamb, Alice Krige, Simon Dutton, Honor Kneafsey, Sarah Douglas, Theo Devaney, John Guerrasio, Andy Lucas, Raj Bajaj, Richard Ashton, Billy Angel, Tahirah Sharif, Joel McVeagh","United States",NA
"2018","7.2/10","30 min","Angela's Christmas","Children & Family Movies","","November 30, 2018","Damien O’Connor","Lucy O'Connell, Ruth Negga, Brendan Mullins, Malachy McCourt, Vivian Drew, Anya O'Connor, Janet Moran, Brian Gleeson, Pat Kinevane","Ireland, Canada",NA
"2018","5.9/10","1 Season","Death by Magic","Reality TV","","November 30, 2018",NA,"Drummond Money-Coutts","United States",NA
"2018","6.5/10","82 min","El club de los insomnes","Dramas, International Movies","","November 30, 2018","Joseduardo Giordano, Sergio Goyri Jr.","Cassandra Ciangherotti, Leonardo Ortizgris, Alejandra Ambrosi, Alexandra De La Mora, Mónica Dionne, Sergio Goyri, Fernando Becerril, Humberto Busto, Marco Méndez, Alejandra Urdiaín, Khristian Clausen, Fernando Luján","Mexico",NA
"2018","7.6/10","127 min","Happy as Lazzaro","Dramas, Independent Movies, International Movies","","November 30, 2018","Alice Rohrwacher","Adriano Tardiolo, Agnese Graziani, Alba Rohrwacher, Luca Chikovani, Tommaso Ragno, Sergi López, Natalino Balasso, Carlo Tarmati, Pasqualina Scuncia, Nicoletta Braschi","Italy, Switzerland, France, Germany",NA
"2018","6.9/10","1 Season","Love and Fortune","International TV Shows, Romantic TV Shows, TV Dramas","","November 30, 2018",NA,"Eri Tokunaga, Daichi Watanabe, Fuju Kamio, Sairi Ito, Mina Fujii, Mansaku Ikeuchi, Kinuo Yamada, Yuka Ogura, Enon Kawatani, Yui Imaizumi, Noriko Eguchi, Masanobu Ando, Kitaro","Japan",NA
"2018","7.3/10","114 min","Manto","Dramas, Independent Movies, International Movies","","November 30, 2018","Nandita Das","Nawazuddin Siddiqui, Rasika Dugal, Tahir Raj Bhasin","India",NA
"2018","5.9/10","119 min","Rajma Chawal","Comedies, Dramas, International Movies","","November 30, 2018","Leena Yadav","Rishi Kapoor, Anirudh Tanwar, Amyra Dastur, Jitendra Shastri, Aparshakti Khurana, Harish Khanna, Manu Rishi Chadha, Nirmal Rishi, Sheeba Chaddha, Adil Hussain, Rahul Ram, Mukesh Chhabra","India",NA
"2018","5.0/10","2 Seasons","Spy Kids: Mission Critical","Kids' TV","",NA,NA,"Ashley Bornancin, Carter Hastings, Caitlyn Bairstow, Nicholas Coombe, Nesta Cooper, Richard Ian Cox, Tom Kenny, Travis Turner, Candi Milo, Mira Sorvino","United States, Canada","November 30, 2018"
"2018","6.6/10","101 min","The World Is Yours","Action & Adventure, Comedies, International Movies","","November 30, 2018","Romain Gavras","Isabelle Adjani, Karim Leklou, François Damiens, Vincent Cassel, Oulaya Amamra","France",NA
"2018","6.2/10","96 min","Time Share","Dramas, Independent Movies, International Movies","","November 30, 2018","Sebastián Hofmann","Luis Gerardo Méndez, Miguel Rodarte, R.J. Mitte, Cassandra Ciangherotti, Montserrat Maranon, Andrés Almeida, Emiliano Rodríguez","Mexico, Netherlands",NA
"2018","7.6/10","1 Season","Bumping Mics with Jeff Ross & Dave Attell","Stand-Up Comedy & Talk Shows, TV Comedies","","November 27, 2018",NA,"Jeff Ross, Dave Attell","United States",NA
"2015","6.3/10","1 Season","Minecraft: Story Mode","Kids' TV","","November 27, 2018",NA,"Patton Oswalt, Catherine Taber, Sean Astin, Melissa Hutchison, Ashley Johnson, Matthew Mercer, Jim Meskimen, Martha Plimpton, Scott Porter, Brian Posehn, Paul Reubens, Billy West, Dave Fennoy","United States, Sweden",NA
"2018","8.1/10","44 min","My Little Pony Friendship Is Magic: Best Gift Ever","Children & Family Movies","","November 25, 2018","Denny Lu, Mike Myhre","Tara Strong, Andrea Libman, Ashleigh Ball, Cathy Weseluck, Tabitha St. Germain, John de Lancie, Sam Vincent, Garry Chalk","United States",NA
"2018","7.3/10","3 Seasons","Frontier","International TV Shows, TV Action & Adventure, TV Dramas","",NA,NA,"Jason Momoa, Landon Liboiron, Alun Armstrong, Jessica Matten, Zoe Boyle, Allan Hawco, Evan Jonigkeit, Katie McGrath","Canada","November 23, 2018"
"2018","5.5/10","1 Season","Fugitiva","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","","November 23, 2018",NA,"Paz Vega, Julio Bracho, Arantza Ruiz, Luisa Rubino, Lander Otaola, Iván Pellicer, José Manuel Poga, Mercedes Sampietro, Charo López, Roberto Álamo, Raúl Medina, Melina Matthews, Pedro Mari Sánchez, Odiseo Bichir","Spain",NA
"2018","6.7/10","2 Seasons","Sick Note","British TV Shows, International TV Shows, TV Comedies","",NA,NA,"Rupert Grint, Nick Frost, Don Johnson, Lindsay Lohan, Pippa Bennett-Warner, Marama Corlett, Karl Theobald, Belinda Stewart-Wilson, Camilla Beeput, Dustin Demri-Burns, Tolu Ogunmefun","United Kingdom","November 23, 2018"
"2018","7.9/10","2 Seasons","Mystery Science Theater 3000: The Return","TV Comedies, TV Sci-Fi & Fantasy","",NA,NA,"Felicia Day, Patton Oswalt, Jonah Ray, Baron Vaughn, Hampton Yount","United States","November 22, 2018"
"2018","7.1/10","104 min","The Christmas Chronicles","Children & Family Movies, Comedies","","November 22, 2018","Clay Kaytis","Kurt Russell, Darby Camp, Judah Lewis, Kimberly Williams-Paisley, Oliver Hudson, Lamorne Morris, Martin Roach","United States",NA
"2018","7.2/10","1 Season","Oh My Ghost","International TV Shows, Romantic TV Shows, TV Comedies","","November 21, 2018",NA,"Nuengthida Sophon, Keerati Mahaprukpong, Arak Amornsupasiri, Malinee Adelaide Coates","Thailand",NA
"2018","5.9/10","91 min","The Tribe","Comedies, International Movies","","November 21, 2018","Fernando Colomo","Paco León, Carmen Machi, Luis Bermejo, Maribel del Pino, Maite Sandoval, Arlette Torres, Marisol Aznar, María José Sarrate, Manuel Huedo, Artur Busquets","Spain",NA
"2018","7.4/10","1 Season","Kulipari: Dream Walker","Kids' TV","","November 20, 2018",NA,"Charlie Adler, Mark Hamill, Jess Harnell, Phil LaMarr, Josh Keaton, Mikey Kelley, Amy Margolis, Wendie Malick, Kevin Michael Richardson, Candi Milo, Laraine Newman",NA,NA
"2017",NA,"1 Season","Paap-O-Meter","Kids' TV, TV Comedies","","November 20, 2018",NA,NA,NA,NA
"2018","4.1/10","91 min","Puppy Star Christmas","Children & Family Movies, Comedies","","November 20, 2018","Robert Vince","Kaitlyn Maher, Mackenzie Sol, Makenzie Moss, David DeLuise, George Newbern, Reggie De Leon, Diedrich Bader, Chloe Coleman, Oakley Bull, Dillon Fontana, vivienne Rutherford, Tyreese Burnett","United States, Canada",NA
"2018","4.3/10","114 min","Sabrina","Horror Movies, International Movies","","November 20, 2018","Rocky Soraya","Luna Maya, Christian Sugiono, Sara Wijayanto, Jeremy Thomas, Richelle Georgette Skornicki, Rizky Hanggono, Asri Handayani","Indonesia",NA
"2018","3.9/10","91 min","Target","Comedies, Horror Movies, International Movies","","November 20, 2018","Raditya Dika","Raditya Dika, Cinta Laura Kiehl, Samuel Rizal, Willy Dozan, Abdur Arsyad, Hifdzi Khoir, Romy Rafael, Ria Ricis, Anggika Bolsterli","Indonesia",NA
"2018","7.8/10","1 Season","The Final Table","Reality TV","","November 20, 2018",NA,"Andrew Knowlton","United States",NA
"2018","7.4/10","64 min","Trevor Noah: Son of Patricia","Stand-Up Comedy","","November 20, 2018","David Paul Meyer","Trevor Noah","United States",NA
"2007","7.9/10","89 min","The Pixar Story","Documentaries","","November 18, 2018","Leslie Iwerks","Stacy Keach","United States",NA
"2017","7.8/10","1 Season","Eternal Love","International TV Shows, Romantic TV Shows, TV Dramas","","November 17, 2018",NA,"Yang Mi, Mark Chao, Dilraba Dilmurat, Ken Chang, Vengo Gao, Huang Mengying","China",NA
"2016","6.7/10","1 Season","La Dona","Spanish-Language TV Shows, TV Dramas","","November 17, 2018",NA,"Aracely Arámbula, David Chocarro, Danna Paola, Rebecca Jones, Odiseo Bichir, Gabriela Roel, Andrea Martí, Juan Ríos Cantú, Diego Soldano, Daniela Bascopé","United States, Mexico",NA
"2016","7.4/10","1 Season","Silvana Sin Lana","Romantic TV Shows, Spanish-Language TV Shows, TV Comedies","","November 17, 2018",NA,"Maritza Rodríguez, Carlos Ponce, Marimar Vega, Adriana Barraza, Marcela Guirado, Ricardo Abarca, Thali García, Alexandra Pomales, Briggitte Bozzo, Santiago Torres, Patricio Gallardo, Roberto Escobar, Samantha Dagnino, Raury Rolander, Vince Miranda, Javier Valcárcel","United States",NA
"2018","5.8/10","95 min","Cam","Horror Movies, Independent Movies, Thrillers","","November 16, 2018","Daniel Goldhaber","Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid, Imani Hakim, Michael Dempsey, Flora Diaz, Samantha Robinson, Jessica Parker Kennedy, Quei Tann","United States",NA
"2018","6.6/10","94 min","Nothing to Hide","Comedies, Dramas, International Movies","","November 16, 2018","Fred Cavayé","Bérénice Bejo, Suzanne Clément, Stéphane De Groodt, Vincent Elbaz, Grégory Gadebois, Doria Tillier, Roschdy Zem, Fleur Fitoussi","France, Belgium",NA
"2018","7.0/10","2 Seasons","Ponysitters Club","Kids' TV, TV Dramas","",NA,NA,"Morgan Neundorf, Madeline Leon, Khiyla Aynne, Cailan Laine Punnewaert, Zyon Allen, Maya Franzoi, Victoria Tomazelli, Hugh Wilson, Diana Chrisman","Canada","November 16, 2018"
"2018","7.2/10","133 min","The Ballad of Buster Scruggs","Comedies, Dramas","","November 16, 2018","Joel Coen, Ethan Coen","Liam Neeson, James Franco, Tim Blake Nelson, Tom Waits, Zoe Kazan, Brendan Gleeson","United States",NA
"2018","5.8/10","102 min","The Princess Switch","Children & Family Movies, Dramas, Romantic Movies","","November 16, 2018",NA,"Vanessa Hudgens, Sam Palladio, Nick Sagar, Suanne Braun, Mark Fleischmann, Amy Griffiths, Sara Stewart, Pavel Douglas, Robin Soans, Calliope Taylor, Natali Yura, Alexa Adeosun","United States",NA
"2018","5.7/10","1 Season","Vai Anitta","Docuseries, International TV Shows, Reality TV","","November 16, 2018",NA,"Anitta","Brazil",NA
"2018","6.3/10","122 min","Aalorukkam","Dramas, Independent Movies, International Movies","","November 15, 2018","V C Abhilash","Indrans, Sreekanth Menon, Vishnu Agasthya, Aliyar, Seethabaala, Shaji John, Sajith Nampiyar, Benny Vadakkan","India",NA
"2017",NA,"1 Season","Beyblade Burst Evolution","Anime Series, Kids' TV","","November 15, 2018",NA,"Marina Inoue, Ryoko Shiraishi, Takuma Terashima, Junko Takeuchi, Fumihiro Okabayashi, Yu Kobayashi, Ayahi Takagaki",NA,NA
"2017","4.6/10","86 min","Christmas Wedding Planner","Comedies, International Movies, Romantic Movies","","November 15, 2018","Justin G. Dyck","Stephen Huszar, Kelly Rutherford","Canada",NA
"2018","7.3/10","111 min","Halkaa","Comedies, Dramas, Independent Movies","","November 15, 2018","Nila Madhab Panda","Tathastu, Aryan Preet, Ranvir Shorey, Paoli Dam, Kumud Mishra, Devender Chaudhary, Shrikant Verma","India",NA
"2018","6.2/10","111 min","May the Devil Take You","Horror Movies, International Movies","","November 15, 2018","Timo Tjahjanto","Chelsea Islan, Pevita Pearce, Samo Rafael, Karina Suwandhi, Ray Sahetapy, Ruth Marini, Hadijah Shahab, Clara Bernadeth, Kinaryosih, Nicole Rossi","Indonesia",NA
"2015","7.0/10","136 min","Muzaffarnagar Baaqi Hai","Documentaries, International Movies","","November 15, 2018","Nakul Singh Sawhney",NA,"India",NA
"2018","6.8/10","121 min","Odu Raja Odu","Comedies, Independent Movies, International Movies","","November 15, 2018","Nishanth Ravindaran, Jathin Sanker Raj","Guru Somasundaram, Nasser, Anand Sami, Lakshmi Priyaa Chandramouli, Ashiqa Salvan, Ravindra Vijay, Abishek K.S., Venkatesh Harinathan","India",NA
"2018","5.8/10","119 min","Savita Damodar Paranjpe","Horror Movies, International Movies","","November 15, 2018","Swapna Waghmare Joshi","Subodh Bhave, Trupti Toradmal, Rakesh Bapat, Pallavi Patil, Angad Mhaskar, Hemangi Kavi, Savita Prabhune, Sandeep Avchat","India",NA
"2015","6.1/10","81 min","The Crew","Action & Adventure, International Movies","","November 15, 2018","Julien Leclercq","Sami Bouajila, Guillaume Gouix, Youssef Hajdi, Redouane Behache, Kahina Carina, David Saracino, Alice de Lencquesaing, Baya Belal, Steve Tientcheu, Kaaris","France",NA
"2017","6.6/10","115 min","The Giant","Dramas, International Movies","","November 15, 2018","Aitor Arregi, Jon Garano","Joseba Usabiaga, Eneko Sagardoy, Inigo Aranburu, Ramón Aguirre, Aia Kruse, Inigo Azpitarte","Spain",NA
"2018","5.9/10","128 min","BuyBust","Action & Adventure, International Movies","","November 13, 2018","Erik Matti","Anne Curtis, Brandon Vera, Victor Neri, Arjo Atayde, Levi Ignacio, Alex Calleja, Lao Rodriguez, Joross Gamboa, Ricky Pascua, Nonie Buencamino","Philippines",NA
"2018","7.2/10","92 min","Loudon Wainwright III: Surviving Twin","Music & Musicals","","November 13, 2018","Christopher Guest","Loudon Wainwright III",NA,NA
"2018","6.9/10","1 Season","Warrior","Crime TV Shows, International TV Shows, TV Dramas","","November 13, 2018",NA,"Dar Salim, Danica Curcic, Lars Ranthe, Marco Ilso, Soren Malling, Jakob Oftebro","Denmark",NA
"2017","7.2/10","1 Season","Age of Tanks","Docuseries, International TV Shows, Science & Nature TV","","November 10, 2018",NA,NA,"Germany, France, Russia",NA
"2009","4.7/10","99 min","All's Well, End's Well (2009)","Comedies, International Movies, Romantic Movies","","November 9, 2018","Vincent Kok","Louis Koo, Sandra Ng Kwan Yue, Raymond Wong, Ronald Cheng, Yao Chen, Guo Tao, Heung Kam Lee, Chun Chau Ha, Miki Shum","Hong Kong",NA
"2017","6.9/10","106 min","Lommbock","Comedies, International Movies","","November 9, 2018","Christian Zübert","Lucas Gregorowicz, Moritz Bleibtreu, Louis Hofmann, Wotan Wilke Möhring, Alexandra Neldel, Melanie Winigir, Mavie Hörbiger, Dar Salim, Elmar Wepper, Antoine Monot Jr.","Germany",NA
"2016","8.0/10","1 Season","Love O2O","International TV Shows, Romantic TV Shows, TV Dramas","","November 9, 2018",NA,"Shuang Zheng, Yang Yang, Rachel Momo, Bai Yu, Zheng Yecheng, Zhang He","China",NA
"2018","8.5/10","1 Season","Medal of Honor","Docuseries, TV Dramas","","November 9, 2018",NA,"Oliver Hudson, Ben Schwartz, Paul Wesley, Aldis Hodge, Jonny Weston, Joseph Cross, Jake Abel, Derek Mio","United States",NA
"2018","7.1/10","122 min","Outlaw King","Action & Adventure, Dramas","","November 9, 2018","David Mackenzie","Chris Pine, Aaron Taylor-Johnson, Florence Pugh, Billy Howle, Sam Spruell, Tony Curran, Callan Mulvey, James Cosmo, Stephen Dillane","United Kingdom, United States",NA
"2018","5.8/10","1 Season","Super Drags","International TV Shows, TV Comedies","","November 9, 2018",NA,"Fernando Mendonça, Sérgio Cantú, Wagner Follare, Pabllo Vittar, Silvetty Montilla, Rapha Vélez, Sylvia Salustti, Guilherme Briggs","Brazil",NA
"2018","8.0/10","1 Season","The Queen of Flow","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","","November 9, 2018",NA,"Carolina Ramírez, Carlos Torres, Andrés Sandoval, Adriana Arango, Mabel Moreno, Luis Alfredo Velasco, Pacho Rueda, Diana Wiswell, Mariana Garzón, Kino, Sebastián Silva, Mariana Gómez, María José Vargas, Guillermo Blanco, Juan Manuel Restrepo, Alejandro Otero, David Ojalvo","Colombia",NA
"2018","7.0/10","2 Seasons","Treehouse Detectives","Kids' TV, TV Thrillers","",NA,NA,"Brody Allen, Jenna Davis, Ryan Bartley, Philece Sampler, Leigh Kelly, Abby Trott","South Korea, United States","November 9, 2018"
"2018","6.0/10","1 Season","Westside","Reality TV","","November 9, 2018",NA,NA,"United States",NA
"2017","7.4/10","1 Season","Transfers","Crime TV Shows, International TV Shows, TV Sci-Fi & Fantasy","","November 8, 2018",NA,"Arieh Worthalter, Brune Renault, Toinette Laquiere, Steve Tientcheu, Pili Groyne, Patrick Descamps, Patrick Raynal, Juliette Plumecocq-Mech, Sébastien Chassagne, Alexis Loret, Aissatou Diop","France, Belgium",NA
"2017","7.6/10","1 Season","Damnation","Crime TV Shows, TV Dramas","","November 7, 2018",NA,"Logan Marshall-Green, Killian Scott, Sarah Jones, Chasten Harmon, Christopher Heyerdahl, Melinda Page Hamilton, Joe Adler","United States",NA
"2018","5.8/10","129 min","Bucket List","Dramas, International Movies","","November 5, 2018","Tejas Prabha Vijay Deoskar","Madhuri Dixit, Sumeet Raghvan, Renuka Shahane, Milind Pathak, Vandana Gupte, Pradeep Velankar, Shubha Khote, Resham Tipnis","India",NA
"2018","7.6/10","90 min","John Leguizamo's Latin History for Morons","Stand-Up Comedy","","November 5, 2018",NA,"John Leguizamo","United States",NA
"2003","8.8/10","7 Seasons","Kopitiam","International TV Shows, TV Comedies","",NA,NA,"Joanna Bessey, Douglas Lim, Lina Teoh, Rashid Salleh, Mano Maniam, Tan Jin Chor","Malaysia","November 3, 2018"
"2018","6.6/10","116 min","Ana e Vitória","Comedies, International Movies, LGBTQ Movies","","November 2, 2018","Matheus Souza","Ana Caetano, Vitória Falcao, Clarissa Müller, Bruce Gomlevsky, Thati Lopes, Caique Nogueira, Érika Mader, Victor Lamoglia, Gabriela Nunes, Bryan Ruffo, Hamilton Dias","Brazil",NA
"2018","8.1/10","1 Season","Brainchild","Kids' TV","","November 2, 2018",NA,"Sahana Srinivasan, Alie Ward, Ben Seidman",NA,NA
"2018","7.0/10","59 min","ReMastered: Tricky Dick & The Man in Black","Documentaries, Music & Musicals","","November 2, 2018","Sara Dosa",NA,"United States",NA
"2018","5.8/10","95 min","The Holiday Calendar","Dramas, Romantic Movies","","November 2, 2018","Bradley Walsh","Kat Graham, Quincy Brown, Ethan Peck, Ron Cephas Jones, Genelle Williams, Ali Hassan, Rodrigo Fernandez-Stoll, Laura de Carteret, Kevin Hanchard, Romaine Waite","United States",NA
"2018","6.9/10","122 min","The Other Side of the Wind","Classic Movies, Dramas, Independent Movies","","November 2, 2018","Orson Welles","John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg, Robert Random, Lilli Palmer, Norman Foster, Edmond O'Brien, Mercedes McCambridge, Cameron Mitchell, Paul Stewart","France, Iran, United States",NA
"2018","7.5/10","98 min","They’ll Love Me When I’m Dead","Documentaries","","November 2, 2018","Morgan Neville","Orson Welles, Alan Cumming","United States",NA
"2009","5.1/10","117 min","Aagey Se Right","Comedies, International Movies, Music & Musicals","","November 1, 2018","Indrajit Nattoji","Shreyas Talpade, Kay Kay Menon, Shiv Pandit, Sanjay Sharma, Shenaz Treasury, Mahie Gill","India",NA
"2008","7.8/10","95 min","Aamir","International Movies, Thrillers","","November 1, 2018","Raj Kumar Gupta","Rajeev Khandelwal, Gajraj Rao, Shashanka Ghosh, Jhilmil Hazrika, Gazala Amin, Allauddin Khan","India",NA
"2015","5.6/10","146 min","ABCD 2","Dramas, International Movies, Music & Musicals","","November 1, 2018","Remo D'Souza","Prabhu Deva, Varun Dhawan, Shraddha Kapoor, Lauren Gottlieb, Sushant Pujari, Punit Pathak, Dharmesh Yelande, Raghav Juyal","India",NA
"2013","6.4/10","136 min","ABCD: Any Body Can Dance","Dramas, International Movies","","November 1, 2018","Remo D'Souza","Prabhu Deva, Kay Kay Menon, Ganesh Acharya, Dharmesh Yelande, Salman, Lauren Gottlieb, Noorin Sha, Punit Pathak","India",NA
"2011","6.6/10","91 min","Arjun: The Warrior Prince","Action & Adventure, Dramas, International Movies","","November 1, 2018","Arnab Chaudhuri","Yudhveer Bakoliya, Ashok Banthia, Ravi Khanwilkar, Vijay Kashyap, Ila Arun, Sachin Khedekar, Rajeshwari Sachdev, Hemanth Mahaur","India",NA
"2018","7.5/10","123 min","Asees","Dramas, International Movies, Music & Musicals","","November 1, 2018","Rana Ranbir","Rana Ranbir, Neha Pawar, Kuljinder Sidhu, Rupinder Roopi, Sardar Sohi, Pardeep Sran, Seema Kaushal, Rajvir Boparai","India",NA
